fibonacci_closed,fibonacci_loop,fibonacci_recursive
4.76837158203125e-06,9.5367431640625e-07,3.0994415283203125e-06
1.1920928955078125e-06,1.1920928955078125e-06,7.152557373046875e-07
0.0,7.152557373046875e-07,0.0
0.0,9.5367431640625e-07,1.9073486328125e-06
1.1920928955078125e-06,0.0,1.1920928955078125e-06
9.5367431640625e-07,0.0,9.5367431640625e-07
9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06
9.5367431640625e-07,0.0,9.5367431640625e-07
9.5367431640625e-07,0.0,9.5367431640625e-07
0.0,1.1920928955078125e-06,9.5367431640625e-07
0.0,9.5367431640625e-07,1.1920928955078125e-06
0.0,9.5367431640625e-07,7.152557373046875e-07
9.5367431640625e-07,1.1920928955078125e-06,9.5367431640625e-07
9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06
9.5367431640625e-07,7.152557373046875e-07,9.5367431640625e-07
0.0,9.5367431640625e-07,9.5367431640625e-07
0.0,1.1920928955078125e-06,9.5367431640625e-07
0.0,9.5367431640625e-07,1.1920928955078125e-06
9.5367431640625e-07,1.1920928955078125e-06,9.5367431640625e-07
1.1920928955078125e-06,9.5367431640625e-07,0.0
7.152557373046875e-07,9.5367431640625e-07,1.1920928955078125e-06
0.0,9.5367431640625e-07,7.152557373046875e-07
0.0,9.5367431640625e-07,9.5367431640625e-07
9.5367431640625e-07,7.152557373046875e-07,9.5367431640625e-07
1.1920928955078125e-06,2.1457672119140625e-06,1.1920928955078125e-06
9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
9.5367431640625e-07,2.1457672119140625e-06,9.5367431640625e-07
0.0,9.5367431640625e-07,1.1920928955078125e-06
0.0,2.1457672119140625e-06,9.5367431640625e-07
9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
9.5367431640625e-07,1.6689300537109375e-06,1.1920928955078125e-06
1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07
0.0,9.5367431640625e-07,7.152557373046875e-07
0.0,2.1457672119140625e-06,9.5367431640625e-07
7.152557373046875e-07,1.9073486328125e-06,1.1920928955078125e-06
9.5367431640625e-07,2.1457672119140625e-06,0.0
1.1920928955078125e-06,7.152557373046875e-07,9.5367431640625e-07
9.5367431640625e-07,9.5367431640625e-07,0.0
0.0,1.9073486328125e-06,0.0
0.0,2.1457672119140625e-06,0.0
1.1920928955078125e-06,2.1457672119140625e-06,9.5367431640625e-07
9.5367431640625e-07,1.6689300537109375e-06,2.1457672119140625e-06
9.5367431640625e-07,2.1457672119140625e-06,7.152557373046875e-07
0.0,1.9073486328125e-06,9.5367431640625e-07
0.0,2.1457672119140625e-06,9.5367431640625e-07
1.1920928955078125e-06,2.1457672119140625e-06,0.0
9.5367431640625e-07,1.6689300537109375e-06,9.5367431640625e-07
7.152557373046875e-07,3.0994415283203125e-06,9.5367431640625e-07
9.5367431640625e-07,2.1457672119140625e-06,1.1920928955078125e-06
0.0,1.9073486328125e-06,9.5367431640625e-07
0.0,1.9073486328125e-06,9.5367431640625e-07
9.5367431640625e-07,1.9073486328125e-06,0.0
9.5367431640625e-07,3.0994415283203125e-06,9.5367431640625e-07
1.1920928955078125e-06,1.9073486328125e-06,0.0
9.5367431640625e-07,3.0994415283203125e-06,7.152557373046875e-07
0.0,1.9073486328125e-06,0.0
9.5367431640625e-07,3.0994415283203125e-06,1.1920928955078125e-06
1.1920928955078125e-06,2.86102294921875e-06,9.5367431640625e-07
9.5367431640625e-07,3.0994415283203125e-06,1.1920928955078125e-06
7.152557373046875e-07,1.9073486328125e-06,0.0
9.5367431640625e-07,2.1457672119140625e-06,9.5367431640625e-07
0.0,3.0994415283203125e-06,0.0
0.0,3.0994415283203125e-06,9.5367431640625e-07
9.5367431640625e-07,2.6226043701171875e-06,1.1920928955078125e-06
9.5367431640625e-07,3.0994415283203125e-06,9.5367431640625e-07
1.1920928955078125e-06,3.0994415283203125e-06,7.152557373046875e-07
9.5367431640625e-07,2.86102294921875e-06,1.1920928955078125e-06
0.0,3.0994415283203125e-06,9.5367431640625e-07
0.0,3.0994415283203125e-06,9.5367431640625e-07
9.5367431640625e-07,3.0994415283203125e-06,9.5367431640625e-07
1.1920928955078125e-06,3.0994415283203125e-06,1.1920928955078125e-06
9.5367431640625e-07,3.0994415283203125e-06,0.0
7.152557373046875e-07,2.86102294921875e-06,9.5367431640625e-07
1.1920928955078125e-06,2.86102294921875e-06,1.1920928955078125e-06
0.0,2.86102294921875e-06,9.5367431640625e-07
0.0,4.291534423828125e-06,9.5367431640625e-07
9.5367431640625e-07,2.6226043701171875e-06,7.152557373046875e-07
9.5367431640625e-07,4.291534423828125e-06,0.0
1.1920928955078125e-06,2.86102294921875e-06,9.5367431640625e-07
9.5367431640625e-07,4.0531158447265625e-06,0.0
0.0,2.86102294921875e-06,0.0
0.0,3.0994415283203125e-06,0.0
1.1920928955078125e-06,3.814697265625e-06,9.5367431640625e-07
9.5367431640625e-07,4.0531158447265625e-06,0.0
7.152557373046875e-07,3.0994415283203125e-06,2.1457672119140625e-06
9.5367431640625e-07,3.814697265625e-06,9.5367431640625e-07
2.1457672119140625e-06,4.0531158447265625e-06,7.152557373046875e-07
9.5367431640625e-07,3.814697265625e-06,1.1920928955078125e-06
1.1920928955078125e-06,4.0531158447265625e-06,1.9073486328125e-06
9.5367431640625e-07,4.291534423828125e-06,9.5367431640625e-07
0.0,3.814697265625e-06,1.1920928955078125e-06
0.0,4.0531158447265625e-06,9.5367431640625e-07
9.5367431640625e-07,4.0531158447265625e-06,9.5367431640625e-07
1.1920928955078125e-06,3.814697265625e-06,1.1920928955078125e-06
9.5367431640625e-07,4.291534423828125e-06,9.5367431640625e-07
7.152557373046875e-07,3.814697265625e-06,9.5367431640625e-07
0.0,4.0531158447265625e-06,7.152557373046875e-07
0.0,4.0531158447265625e-06,1.1920928955078125e-06
9.5367431640625e-07,5.0067901611328125e-06,9.5367431640625e-07
9.5367431640625e-07,4.0531158447265625e-06,9.5367431640625e-07
9.5367431640625e-07,4.76837158203125e-06,1.1920928955078125e-06
1.1920928955078125e-06,4.291534423828125e-06,9.5367431640625e-07
0.0,4.76837158203125e-06,9.5367431640625e-07
0.0,4.0531158447265625e-06,0.0
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
1.1920928955078125e-06,4.76837158203125e-06,0.0
9.5367431640625e-07,5.0067901611328125e-06,7.152557373046875e-07
9.5367431640625e-07,4.0531158447265625e-06,1.1920928955078125e-06
0.0,4.0531158447265625e-06,9.5367431640625e-07
0.0,4.76837158203125e-06,9.5367431640625e-07
1.1920928955078125e-06,5.245208740234375e-06,1.1920928955078125e-06
9.5367431640625e-07,4.76837158203125e-06,9.5367431640625e-07
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
0.0,4.76837158203125e-06,9.5367431640625e-07
0.0,5.245208740234375e-06,1.1920928955078125e-06
9.5367431640625e-07,4.76837158203125e-06,9.5367431640625e-07
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
1.1920928955078125e-06,4.76837158203125e-06,9.5367431640625e-07
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
0.0,5.0067901611328125e-06,9.5367431640625e-07
0.0,5.9604644775390625e-06,9.5367431640625e-07
9.5367431640625e-07,4.76837158203125e-06,0.0
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
9.5367431640625e-07,5.7220458984375e-06,0.0
0.0,5.245208740234375e-06,1.1920928955078125e-06
0.0,5.9604644775390625e-06,0.0
9.5367431640625e-07,5.0067901611328125e-06,9.5367431640625e-07
9.5367431640625e-07,5.9604644775390625e-06,9.5367431640625e-07
9.5367431640625e-07,5.245208740234375e-06,9.5367431640625e-07
0.0,4.76837158203125e-06,9.5367431640625e-07
0.0,6.198883056640625e-06,9.5367431640625e-07
9.5367431640625e-07,5.9604644775390625e-06,1.1920928955078125e-06
9.5367431640625e-07,6.198883056640625e-06,9.5367431640625e-07
9.5367431640625e-07,5.7220458984375e-06,9.5367431640625e-07
0.0,5.9604644775390625e-06,9.5367431640625e-07
0.0,6.198883056640625e-06,1.1920928955078125e-06
9.5367431640625e-07,5.7220458984375e-06,9.5367431640625e-07
9.5367431640625e-07,6.198883056640625e-06,9.5367431640625e-07
1.1920928955078125e-06,5.9604644775390625e-06,1.1920928955078125e-06
9.5367431640625e-07,6.198883056640625e-06,7.152557373046875e-07
0.0,5.7220458984375e-06,9.5367431640625e-07
0.0,6.198883056640625e-06,9.5367431640625e-07
1.1920928955078125e-06,6.198883056640625e-06,1.1920928955078125e-06
9.5367431640625e-07,5.9604644775390625e-06,9.5367431640625e-07
9.5367431640625e-07,7.152557373046875e-06,9.5367431640625e-07
9.5367431640625e-07,5.9604644775390625e-06,1.1920928955078125e-06
0.0,5.7220458984375e-06,9.5367431640625e-07
0.0,5.9604644775390625e-06,9.5367431640625e-07
0.0,6.9141387939453125e-06,1.1920928955078125e-06
9.5367431640625e-07,6.198883056640625e-06,7.152557373046875e-07
1.1920928955078125e-06,6.9141387939453125e-06,9.5367431640625e-07
9.5367431640625e-07,6.9141387939453125e-06,9.5367431640625e-07
9.5367431640625e-07,6.198883056640625e-06,1.1920928955078125e-06
0.0,6.9141387939453125e-06,9.5367431640625e-07
0.0,6.9141387939453125e-06,9.5367431640625e-07
1.1920928955078125e-06,7.152557373046875e-06,9.5367431640625e-07
9.5367431640625e-07,6.9141387939453125e-06,1.1920928955078125e-06
9.5367431640625e-07,6.198883056640625e-06,9.5367431640625e-07
0.0,7.152557373046875e-06,9.5367431640625e-07
0.0,6.9141387939453125e-06,0.0
9.5367431640625e-07,7.152557373046875e-06,7.152557373046875e-07
9.5367431640625e-07,6.9141387939453125e-06,0.0
9.5367431640625e-07,6.9141387939453125e-06,0.0
1.1920928955078125e-06,7.152557373046875e-06,0.0
0.0,6.9141387939453125e-06,1.1920928955078125e-06
0.0,6.9141387939453125e-06,0.0
9.5367431640625e-07,7.867813110351562e-06,9.5367431640625e-07
1.1920928955078125e-06,7.152557373046875e-06,1.1920928955078125e-06
9.5367431640625e-07,6.9141387939453125e-06,9.5367431640625e-07
0.0,8.106231689453125e-06,2.1457672119140625e-06
0.0,7.152557373046875e-06,7.152557373046875e-07
1.1920928955078125e-06,7.867813110351562e-06,9.5367431640625e-07
7.152557373046875e-07,7.867813110351562e-06,9.5367431640625e-07
9.5367431640625e-07,7.152557373046875e-06,1.1920928955078125e-06
9.5367431640625e-07,7.152557373046875e-06,9.5367431640625e-07
1.1920928955078125e-06,7.867813110351562e-06,9.5367431640625e-07
9.5367431640625e-07,7.867813110351562e-06,1.1920928955078125e-06
0.0,8.344650268554688e-06,9.5367431640625e-07
0.0,6.9141387939453125e-06,9.5367431640625e-07
9.5367431640625e-07,7.867813110351562e-06,0.0
1.1920928955078125e-06,7.867813110351562e-06,1.1920928955078125e-06
9.5367431640625e-07,8.106231689453125e-06,0.0
9.5367431640625e-07,8.106231689453125e-06,9.5367431640625e-07
0.0,7.867813110351562e-06,0.0
0.0,7.867813110351562e-06,1.9073486328125e-06
7.152557373046875e-07,8.106231689453125e-06,0.0
9.5367431640625e-07,7.867813110351562e-06,9.5367431640625e-07
9.5367431640625e-07,3.504753112792969e-05,0.0
1.1920928955078125e-06,8.106231689453125e-06,9.5367431640625e-07
0.0,8.106231689453125e-06,0.0
0.0,8.106231689453125e-06,1.1920928955078125e-06
9.5367431640625e-07,8.821487426757812e-06,0.0
1.1920928955078125e-06,7.867813110351562e-06,7.152557373046875e-07
9.5367431640625e-07,9.059906005859375e-06,0.0
9.5367431640625e-07,8.106231689453125e-06,1.1920928955078125e-06
0.0,9.059906005859375e-06,9.5367431640625e-07
0.0,7.867813110351562e-06,9.5367431640625e-07
9.5367431640625e-07,7.867813110351562e-06,1.1920928955078125e-06
7.152557373046875e-07,8.821487426757812e-06,9.5367431640625e-07
9.5367431640625e-07,9.298324584960938e-06,9.5367431640625e-07
1.1920928955078125e-06,7.867813110351562e-06,9.5367431640625e-07
0.0,7.867813110351562e-06,0.0
0.0,8.106231689453125e-06,9.5367431640625e-07
9.5367431640625e-07,8.821487426757812e-06,7.152557373046875e-07
1.1920928955078125e-06,9.059906005859375e-06,1.1920928955078125e-06
9.5367431640625e-07,9.059906005859375e-06,9.5367431640625e-07
9.5367431640625e-07,9.059906005859375e-06,9.5367431640625e-07
0.0,8.821487426757812e-06,9.5367431640625e-07
0.0,9.059906005859375e-06,1.1920928955078125e-06
1.1920928955078125e-06,8.106231689453125e-06,9.5367431640625e-07
7.152557373046875e-07,9.059906005859375e-06,9.5367431640625e-07
9.5367431640625e-07,8.821487426757812e-06,1.1920928955078125e-06
0.0,9.298324584960938e-06,9.5367431640625e-07
9.5367431640625e-07,1.0013580322265625e-05,7.152557373046875e-07
0.0,8.821487426757812e-06,9.5367431640625e-07
9.5367431640625e-07,9.059906005859375e-06,1.1920928955078125e-06
1.1920928955078125e-06,9.059906005859375e-06,9.5367431640625e-07
9.5367431640625e-07,8.821487426757812e-06,9.5367431640625e-07
9.5367431640625e-07,8.821487426757812e-06,1.1920928955078125e-06
0.0,1.0013580322265625e-05,0.0
0.0,1.0013580322265625e-05,9.5367431640625e-07
9.5367431640625e-07,9.298324584960938e-06,0.0
7.152557373046875e-07,9.775161743164062e-06,1.9073486328125e-06
9.5367431640625e-07,1.0013580322265625e-05,0.0
1.1920928955078125e-06,1.0013580322265625e-05,1.9073486328125e-06
0.0,1.0013580322265625e-05,0.0
0.0,9.059906005859375e-06,9.5367431640625e-07
9.5367431640625e-07,8.821487426757812e-06,0.0
1.1920928955078125e-06,8.821487426757812e-06,1.1920928955078125e-06
9.5367431640625e-07,1.0013580322265625e-05,0.0
9.5367431640625e-07,9.775161743164062e-06,9.5367431640625e-07
0.0,1.0013580322265625e-05,0.0
0.0,1.0013580322265625e-05,1.1920928955078125e-06
0.0,1.0967254638671875e-05,7.152557373046875e-07
0.0,1.0013580322265625e-05,9.5367431640625e-07
9.5367431640625e-07,1.0013580322265625e-05,0.0
1.1920928955078125e-06,1.0967254638671875e-05,9.5367431640625e-07
9.5367431640625e-07,1.0013580322265625e-05,0.0
9.5367431640625e-07,1.0967254638671875e-05,1.1920928955078125e-06
0.0,1.0013580322265625e-05,0.0
0.0,1.0967254638671875e-05,9.5367431640625e-07
1.1920928955078125e-06,1.0013580322265625e-05,0.0
9.5367431640625e-07,9.775161743164062e-06,9.5367431640625e-07
9.5367431640625e-07,1.1205673217773438e-05,0.0
1.1920928955078125e-06,1.0967254638671875e-05,7.152557373046875e-07
0.0,1.0967254638671875e-05,0.0
0.0,1.0967254638671875e-05,2.1457672119140625e-06
7.152557373046875e-07,1.0967254638671875e-05,0.0
9.5367431640625e-07,1.0967254638671875e-05,2.1457672119140625e-06
1.1920928955078125e-06,1.0013580322265625e-05,0.0
9.5367431640625e-07,9.775161743164062e-06,9.5367431640625e-07
9.5367431640625e-07,1.0013580322265625e-05,0.0
0.0,1.0967254638671875e-05,2.1457672119140625e-06
0.0,1.2159347534179688e-05,0.0
9.5367431640625e-07,1.1920928955078125e-05,9.5367431640625e-07
9.5367431640625e-07,1.0967254638671875e-05,0.0
1.1920928955078125e-06,1.0967254638671875e-05,9.5367431640625e-07
9.5367431640625e-07,1.2159347534179688e-05,0.0
0.0,1.0967254638671875e-05,9.5367431640625e-07
0.0,1.1920928955078125e-05,1.1920928955078125e-06
7.152557373046875e-07,1.0967254638671875e-05,9.5367431640625e-07
1.1920928955078125e-06,1.0967254638671875e-05,9.5367431640625e-07
9.5367431640625e-07,1.2159347534179688e-05,1.1920928955078125e-06
9.5367431640625e-07,1.1920928955078125e-05,9.5367431640625e-07
0.0,1.0967254638671875e-05,9.5367431640625e-07
0.0,1.1205673217773438e-05,9.5367431640625e-07
0.0,1.1920928955078125e-05,9.5367431640625e-07
9.5367431640625e-07,1.2159347534179688e-05,9.5367431640625e-07
9.5367431640625e-07,1.1920928955078125e-05,9.5367431640625e-07
1.1920928955078125e-06,1.1682510375976562e-05,1.1920928955078125e-06
9.5367431640625e-07,1.2159347534179688e-05,9.5367431640625e-07
0.0,1.1920928955078125e-05,9.5367431640625e-07
0.0,1.2159347534179688e-05,9.5367431640625e-07
9.5367431640625e-07,1.2159347534179688e-05,1.1920928955078125e-06
9.5367431640625e-07,1.1920928955078125e-05,9.5367431640625e-07
9.5367431640625e-07,1.2159347534179688e-05,0.0
9.5367431640625e-07,1.1682510375976562e-05,9.5367431640625e-07
1.1920928955078125e-06,1.2159347534179688e-05,0.0
0.0,1.2874603271484375e-05,9.5367431640625e-07
0.0,1.2159347534179688e-05,0.0
9.5367431640625e-07,1.3113021850585938e-05,2.1457672119140625e-06
1.1920928955078125e-06,1.2636184692382812e-05,0.0
9.5367431640625e-07,1.2159347534179688e-05,1.1920928955078125e-06
9.5367431640625e-07,1.3113021850585938e-05,0.0
0.0,1.2874603271484375e-05,9.5367431640625e-07
0.0,1.3113021850585938e-05,0.0
1.1920928955078125e-06,1.2874603271484375e-05,7.152557373046875e-07
9.5367431640625e-07,1.3113021850585938e-05,0.0
9.5367431640625e-07,1.2874603271484375e-05,9.5367431640625e-07
1.1920928955078125e-06,1.3113021850585938e-05,0.0
9.5367431640625e-07,1.3113021850585938e-05,9.5367431640625e-07
0.0,1.2636184692382812e-05,0.0
0.0,1.430511474609375e-05,1.1920928955078125e-06
9.5367431640625e-07,1.2874603271484375e-05,0.0
1.1920928955078125e-06,1.3113021850585938e-05,1.9073486328125e-06
9.5367431640625e-07,1.2874603271484375e-05,0.0
9.5367431640625e-07,1.3113021850585938e-05,9.5367431640625e-07
0.0,1.4066696166992188e-05,0.0
0.0,1.3113021850585938e-05,9.5367431640625e-07
9.5367431640625e-07,1.3828277587890625e-05,0.0
9.5367431640625e-07,1.2874603271484375e-05,1.1920928955078125e-06
9.5367431640625e-07,1.4066696166992188e-05,0.0
1.1920928955078125e-06,1.3828277587890625e-05,9.5367431640625e-07
9.5367431640625e-07,1.4066696166992188e-05,0.0
0.0,1.3113021850585938e-05,1.1920928955078125e-06
0.0,1.2874603271484375e-05,0.0
1.1920928955078125e-06,1.2874603271484375e-05,2.1457672119140625e-06
9.5367431640625e-07,1.4066696166992188e-05,0.0
9.5367431640625e-07,1.4066696166992188e-05,1.6689300537109375e-06
7.152557373046875e-07,1.3828277587890625e-05,9.5367431640625e-07
1.1920928955078125e-06,1.5020370483398438e-05,1.1920928955078125e-06
9.5367431640625e-07,1.3828277587890625e-05,9.5367431640625e-07
9.5367431640625e-07,1.4066696166992188e-05,9.5367431640625e-07
1.1920928955078125e-06,1.4066696166992188e-05,1.1920928955078125e-06
0.0,1.3828277587890625e-05,9.5367431640625e-07
0.0,1.4066696166992188e-05,9.5367431640625e-07
9.5367431640625e-07,1.4066696166992188e-05,9.5367431640625e-07
9.5367431640625e-07,1.3828277587890625e-05,1.1920928955078125e-06
1.1920928955078125e-06,1.4066696166992188e-05,7.152557373046875e-07
9.5367431640625e-07,1.5020370483398438e-05,9.5367431640625e-07
9.5367431640625e-07,1.3828277587890625e-05,1.1920928955078125e-06
0.0,1.4066696166992188e-05,9.5367431640625e-07
0.0,1.5020370483398438e-05,9.5367431640625e-07
9.5367431640625e-07,1.4781951904296875e-05,9.5367431640625e-07
9.5367431640625e-07,1.52587890625e-05,1.1920928955078125e-06
9.5367431640625e-07,1.4781951904296875e-05,9.5367431640625e-07
1.1920928955078125e-06,1.5020370483398438e-05,9.5367431640625e-07
9.5367431640625e-07,1.5020370483398438e-05,1.1920928955078125e-06
0.0,1.5020370483398438e-05,9.5367431640625e-07
0.0,1.5020370483398438e-05,7.152557373046875e-07
1.1920928955078125e-06,1.4781951904296875e-05,9.5367431640625e-07
9.5367431640625e-07,1.5020370483398438e-05,3.0994415283203125e-06
9.5367431640625e-07,1.5974044799804688e-05,9.5367431640625e-07
1.1920928955078125e-06,1.621246337890625e-05,9.5367431640625e-07
7.152557373046875e-07,1.5735626220703125e-05,1.1920928955078125e-06
0.0,1.621246337890625e-05,9.5367431640625e-07
0.0,1.4781951904296875e-05,7.152557373046875e-07
9.5367431640625e-07,1.621246337890625e-05,9.5367431640625e-07
9.5367431640625e-07,1.5735626220703125e-05,1.1920928955078125e-06
9.5367431640625e-07,1.52587890625e-05,9.5367431640625e-07
1.1920928955078125e-06,1.4781951904296875e-05,2.1457672119140625e-06
9.5367431640625e-07,1.621246337890625e-05,9.5367431640625e-07
